@relation dataset-bow-arousal-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute text string
@attribute arousal numeric

@data
'running lil  place called silverwood today ! ca wait ! happy',8
'really wana move soon !',6
'thinking charity cup',1
'thinks girls , boys easily found . girls realize need men ! !',6.5
'wedding anniversary tonight ..',4.5
'sip crystal real ones',2
'believe hype raleigh ! snipdown going go ! !',7.5
'would like thank family friends came celebrated well showered new lil man love gifts . great ! love family friends .',5.5
'holy shit .. still playing go meeting .. tech support .. help .. help . mama tired',5.5
'happy bomb',4
'getting ready big move people',5.5
'happy happy happy new year everybody ! ! optimistic hopes  .',8
'ca believe michael jackson dead !  ',6.5
'help ! looking childbirth class , preferably weekdays . found , offering sunday morning classes , starting sunday . suggestions ? thanks !',6.5
'exhausted . think colic . wrenches back cries forever . mostly morning though right bed . ouy !',5.5
'would like send shout thanks little helper weekend .',2
'finally   fit ..',3.5
'making smores kids ! want camp tonight ! ! ! ! ! ! lol ! ! ! let see goes ! ! ! ! ! ! ! !',9
'weekend ? eat , eat eat , bbq time ! ! ! !',8.5
'sad alone , one truly depend . zetsu',2.5
'around ..',1
'going atl weekend see mawmaw',3
'thoughts , thoughts thinking ? . thoughts come go  thoughts . body ? tell us millions cells body changed renewed every minute , sothat end seven years havea single living cell body seven years . cells come go . cells arise die . seems persist . body ? evidently  ',4
' days',1.5
'ergh , anatomy ,  page outline  pages pictures label tomorrow , curse procrastination . may rot forever purgatory',4.5
'bought wedding dress monday wait ! ! ! ! sooo beautiful',8
'hot pot !',7.5
'pleading .. anyone would like tax credit , instead paying would pay state , kindergartners really would like go field trip pumpkin patch  district cuts , pay bus . email info   kinders would grateful ! thanks',3
'memory every cancer patient , family members  friends lost battle cancer , honpor continue conquer ! put  hour love someone cancer . many wo copy  paste . proud . ?',4.5
' ,  go , come ss ! make happy guy ! happy',7
'pancakes apperantly good laughing laughing hope get sick laughing',5.5
'got new tat ! got cest . get finish hurt fucking much . fuckin awesome lookin tho',8
abcdefuck,4.5
'big weekend coming . band performing bay islands country rock festival .. yeeeehhhaaaaaaa ! ! !',8
'looking job indy .. suggestions ? ? ? ? ?',3.5
'successful people focus problem . focus solution . focused solution.  ',3
'reggie bush man ! ! ! !',7.5
'never thought would happen ! coworker asked case mondays !',6
'good night everyone ! ! ! pleas smile go bed .. case something happen .. fall asleep indefinitely .. smile face ..',4.5
'driving cape may weekend . bored ..',2
'cracked another one ! ! ! one go ! ! !',7.5
'contemplating spend xbox points ..',1.5
'la lingaw .. sleepy na .. work napud ugma . hehehe',2
'according nbc news people getting social security wo get increase bcause cost living going , inflation rate negative .. first cost living always going , second inflation rate negative , thir cheeky , playful negative would inflation , wuld deflation',3
'school messed',3
'florida virtual school sux ass',4
'finally got working phone .. nice !',5.5
'discussion environment natural world  destroying   year old raised hand something say. , well',3
'matter party , time point fingers . woman many people attacked person society . everyone prayers include , hardcore conservitive . remember america think differently , result happened today . god',2.5
'shld win new zealand award miss blob love dad hahaha  ',4.5
'cell phone hold tons pictures claim texting inbox full hundred short text messages ?   ',3
'thanks bday wishes everybody ! great day .. saints mopped floor giants   woo , hoo !  , sushi ! could ask ? !',7.5
'drank kc tea last night . pretty good ! !',6.5
'cause american ggggiiiirrrlll ! ! ! ! got give tom petty',7
'starting first night new job tonight .. happy ! happy',7
'yea , jets .. shut',3
'fixin  party halloween .',1.5
'amazing day . thanks encouragement . fire . got go christian concert sedalia see sings savior lives . also weave life changing wonderful thankful blessed .',4
'edition  completed today .. nice . laughing one edition .  shower time symbolic logic time .. yeesh ..',3.5
'ive learned things weird bad weird good weird',2
'think spent   time others less   . slowly realizing almost everyone world almost statistics . feels good victim also compells think ideal way living life !',5
'someone make facts website compete chuck norris .',1.5
'like reminded iknowwatsgdforu attitude gahment institutions display  ',3.5
'got back handling classshopping little ago . trying heals rotc uniform , bad idea since ankle got irritated class . put heals , could barly walk hurt ankle litterally popping rolling .. much getting better . skeptical , annoyed , undecided , uneasy hesitant',3.5
'life wisdom consists constantly engaged letting go',1.5
'honestly never saw enjoyment watching people physical activity , play football , cares ?',3.5
'oh , looks like going draw .. straws .',4.5
'patience .. hahaha ..',3.5
?,2
'dogs fantastic . chester farts , gets runs room leaves deal .',2
'totp sat',2.5
'fun sun ! !',7
'sooo tierd',3
'.  . put dog .  profile   respect , apology   show .           animal cruelty',3
' many great achievements world accomplished tired discouraged men kept working',2.5
'hoping go zoo great wolf .. hope , hope ..',3.5
'patiently waiting days',1.5
'true know got lose , also true know missing arrives .',2
'thinks funny stick fingers throat make vommit ..',3
'ok. done beach today . might promenade tonight tomorrow .',1.5
' hrs mid night release black ops .',1.5
'wow many people school found lately . really happy even remember . miss guys',4.5
'happy bday angel .. miss love . see soon ..   ',5
'yay going ontario mills birthday   pfftt late , e cheeky , playful ected .. laughing  ',5.5
'exactly magical birthday first day yardah , yardah , yardah .. birthday messages definitely cheered though ! laughing',5
'nothing mind .',1.5
real,2.5
' innocent  wait upon lord shall renew strength  shall mount wings eagles  shall run , weary  shall walk , faint .',1.5
'government lost , alien empire gives free food med world trusting . loose group families media calls unmarked flee remote areas states , provence ghettos world .. head ! ..',4.5
'dog fairfax county bet fake trynna skool dough',4.5
'greater gift give receive honor , calling . born . become truly alive .',3
'cool like    ',2.5
'loves pizza ..',2.5
'many times mistreat constantly biting hands feed ?',3.5
'got accepted kitchen manager program .. baby way .. ? ? ..',5
'first day school course taken six hours mass hearing   pm followed first talk singles christ love god . maximized time accommodate activities ',2.5
'anyone knows anything history knows great social changes impossible without feminine upheaval . social progress measured exactly social position fair sex , ugly ones included .',3.5
'holy fuck supposed get weekends cheeky , playful',6.5
'yay ! friday !',7
'conspiracy theory . land lord thinks stilling light bulbs house . go bad asked . hum let think . right light bulbs never go . thinking . way hit need light bulb . many . maybe even get magic bulb never needs replacing . god',4.5
'christmas almost ! ! ! jesus born , years  days ago .. praise jesus ! ! !',7.5
'sick sucks .',3.5
'party !',6.5
'got new cell phone yesterday text meh laughing',4
'finally cooled enough open windows cool house bed . however , skunk decided stinky business outside . eww . bad skunk . bad .',3
'fat . happy fat',3.5
'shh hear ! omg calling .yep bed calling .. night sweet dream .. zzz',4.5
'omg , life difficult ? ? ? one door closses another one opens , well f    door ..',6.5
'black hats sideways white bold la',2
'gone greenway . mile run !',5
'yes slaughter ping pong , thanks asking .',2
'officially certified personal trainer',2.5
'bought megaman  wii . hardest game ever tt',2
' years ago , night like tonight .. road called roller coaster ..',1.5
'feel like clean house , going lay feeling passes .. cheeky , playful ',2
'realise bad dead leg could ..  days .. still bad day  .. wtf',4
'wowso many bday wishes continue comethanks much everyone ! .. give shout best sous chef working prepare us awesome dinner hyeholde moonamy hebster man ! !',6
'got dem brain dawgs !',8
'phone numbers facebook ! ! joke .. go top right screen , click account edit friends . go left side screen click phonebook . everyone phone numbers published . please repost let .. friends know happening remove number .. scary stuff',7
'wow .. dad . awesome moment teenage life ? think falls . thanks ! happy',4.5
'fell muddy brook',2
'know respond negativity . let lord fight battles . way better . trust lord lean understanding . selfcheck .',2.5
'one crazy ass day glad ..',5
'line work , rarely opportunity actually refuse anything  , really appreciate invites requests regarding lameass facebook games . flatly ignoring quite cathartic .',3
'chicken egg bed , chicken head pillow smoking . egg rolls annoyed saysi guess answered question.  ',1.5
bored,1.5
'making love ego .',1
'feels tight literally !',4.5
'guys great .',3
'feel knackered great couple days best company . always great show great guy ! role next gig',5
'got sure !',6
'thank every  happy bdays . fun , dinner movie thanks babe .',4.5
'super stressed second month school .. sadness',7
'accept full responsibilty wrong done , thought perfect , apologise human , never , put life',3.5
'make new year .. like fuckin  catalina wine mixer ! ! ! ! !',8
'rise . fall . rise . kill ya make ya strong .',2
'going today like going gun fight spoon . lets go yankees !',6.5
'need ask full time .. def full time yeaaaaaaaaaaaaaa yeahhhhh',4
'note self says flammable  mean sugguestion ..   .  ',2
'playing guitar , hanging pals  walking air life .',2.5
' afk weekend , wet weather camping skill !',5
'thanks prayers happy',4.5
'working grad night intire time hours sleep !',5.5
'doormat written forehead .. ? skeptical , annoyed , undecided , uneasy hesitant',4
'blessed feels like heaven !   ',6
'life confusing .. sometimes feel happy , sometimes feel sad .. sometimes sad happy .. damn retarded ..',4
'lol true urban dictionary  buy mugs',4
'wish would phone email . seattle , gone almost week word . frown , sad , angry pouting',4.5
'son baked birthday cake last night everyone sang happy birthday .. felt love ! today weather beautiful .. really november ? feels like spring !',7
'ouch .. head',3
'bye everyone  weeks going armenia baby see guys later',7.5
'touched birthday wishes . thank ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! xoxoxox smile big split face ! ! ! happy              ',8
'looongg great day work .. time sit back relax best way , ',4
'one mo gen upportin one boyz take dat plunge best wishes honored stand embark next chapter life . love guys like play cousin !',6.5
..,2
'workin  days week good tha  like wan na go catch flick ya kno ! insted workin catchin drinks afterwards ! ya kno .. lol wants go ! gon na try get day next week',4.5
'apart really misses worlds .. longs live one right .',3
'holy shit monday night amazing',5
'rest peace . first love , always hold special place heart . thoughts prayers . miss love',4
'stayed till  last night playing overlord raising hell . know',2
'long time , finally get receive package ! ! ! although need declare medical status , need medical checkup ! ! woots ! ! ! laughing',8
'faith choice lost man , angel , devel . god gave us choice , comand us . gave love us . pray wo lose faith , hope , love wo give , fight defend weak need . choice lose .',3
'oh gee love sister much ! wish cool ! ! ! ! ! ! ! ! ! ! ! ! ! like even believe lucky super duper awesome big sister ! ! ! ! ! ! ! laughing dddddd',9
'jellypuss ..',4.5
'ramadan mubarak',6
'wish could run friends used windsor although sixth grade lol',4
'wow game boston could lakers took .',3.5
'wow ! fun wedding p congradulations !',6.5
'last happy',4.5
'ready go happy',4.5
'yayy ! electric guitar ! !',7
'selfish , impatient little insecure . make mistakes , control times hard handle . ca handle worst , sure hell deserve best',4.5
'getting ready go graduation . prpud jess . love',2.5
'rest peace never forget .',2
'.. signed lease ! officiallly living girl next year ! yayyy !',6.5
'two weeks since last tae kwon doe lesson . going hurt .',2
'life full fake peoplbefore judge , make sure one .',3.5
'antibiotics kicking .. trying cough lungs , least feeling run . time go home tomorrow morning .. good times .',3
'care new friend ?',5.5
'listening hall mountain king , perpetuum mobile musical joke , hard core mozart .. real music rely words show emotion !',5
'goin home year today happy',5
'talked banky today . surprise . sounded really good sounds really focused comes home . slow day work',3
'got e today .. awesome phone happy',4.5
'dnt get scared .. jst missing .. darling curles ..',2
'got ipod touch',1.5
'oh blessed day ! ! ! ! getting ready go day , wife says please stop gamestop ?  finally growing gamer know ! ! !   ',8
'hmmm work  solo ensemble b  debate c  chess  academics ? pick e  facebook xbox !  ',3.5
'fed searching info man knew much . anyone help ?   ',3
'thanks bday wishes . unfortunetly , sick since . better time leave tomorrow puerto ricoooo ! ! !',6.5
'moment dreams become reality , moment know finally living ! ! e cheeky , playful erience ceasing exist ..',4.5
'since stuck morgantown .. alchycider sledding',2
'spent two hours cleaning basement boxes miscellaneous items . must  boxes .. garage yet go . yay , get look forward spring summer .',4
'going home today kids great weekend god never knew much rlly missed wish never go back . love wish guys would never grow . love',4.5
'life full surprises suspenses  happy  .. sometimes unbearable frown , sad , angry pouting',4.5
'trying figure work thing hopefully get .',2
'thanks everyone wished happy birthday amazing',3.5
happy,3
'birthday tomorrow ! ! ! ! excited',7
'glad feeling better ready go back work lived phone computer day pjs .. bad thing moved accounts sat .. work weekend daughter bugging go dog show ca , , may accounts  ',2.5
'thanks birthday wishes everyone ! ! !',6
