@relation dataset-bow-valence-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute text string
@attribute valence numeric

@data
'running lil  place called silverwood today ! ca wait ! happy',9
'really wana move soon !',4.5
'thinking charity cup',5
'thinks girls , boys easily found . girls realize need men ! !',3.5
'wedding anniversary tonight ..',7
'sip crystal real ones',5
'believe hype raleigh ! snipdown going go ! !',7
'would like thank family friends came celebrated well showered new lil man love gifts . great ! love family friends .',8.5
'holy shit .. still playing go meeting .. tech support .. help .. help . mama tired',4
'happy bomb',7
'getting ready big move people',6
'happy happy happy new year everybody ! ! optimistic hopes  .',8.5
'ca believe michael jackson dead !  ',2
'help ! looking childbirth class , preferably weekdays . found , offering sunday morning classes , starting sunday . suggestions ? thanks !',5
'exhausted . think colic . wrenches back cries forever . mostly morning though right bed . ouy !',3
'would like send shout thanks little helper weekend .',7
'finally   fit ..',7.5
'making smores kids ! want camp tonight ! ! ! ! ! ! lol ! ! ! let see goes ! ! ! ! ! ! ! !',7.5
'weekend ? eat , eat eat , bbq time ! ! ! !',8
'sad alone , one truly depend . zetsu',2.5
'around ..',5
'going atl weekend see mawmaw',7
'thoughts , thoughts thinking ? . thoughts come go  thoughts . body ? tell us millions cells body changed renewed every minute , sothat end seven years havea single living cell body seven years . cells come go . cells arise die . seems persist . body ? evidently  ',4.5
' days',5
'ergh , anatomy ,  page outline  pages pictures label tomorrow , curse procrastination . may rot forever purgatory',3
'bought wedding dress monday wait ! ! ! ! sooo beautiful',8
'hot pot !',6
'pleading .. anyone would like tax credit , instead paying would pay state , kindergartners really would like go field trip pumpkin patch  district cuts , pay bus . email info   kinders would grateful ! thanks',4.5
'memory every cancer patient , family members  friends lost battle cancer , honpor continue conquer ! put  hour love someone cancer . many wo copy  paste . proud . ?',5
' ,  go , come ss ! make happy guy ! happy',7.5
'pancakes apperantly good laughing laughing hope get sick laughing',7
'got new tat ! got cest . get finish hurt fucking much . fuckin awesome lookin tho',7
abcdefuck,3
'big weekend coming . band performing bay islands country rock festival .. yeeeehhhaaaaaaa ! ! !',7.5
'looking job indy .. suggestions ? ? ? ? ?',5
'successful people focus problem . focus solution . focused solution.  ',4.5
'reggie bush man ! ! ! !',7
'never thought would happen ! coworker asked case mondays !',4.5
'good night everyone ! ! ! pleas smile go bed .. case something happen .. fall asleep indefinitely .. smile face ..',5
'driving cape may weekend . bored ..',3.5
'cracked another one ! ! ! one go ! ! !',6.5
'contemplating spend xbox points ..',5
'la lingaw .. sleepy na .. work napud ugma . hehehe',5.5
'according nbc news people getting social security wo get increase bcause cost living going , inflation rate negative .. first cost living always going , second inflation rate negative , thir cheeky , playful negative would inflation , wuld deflation',3.5
'school messed',2.5
'florida virtual school sux ass',2
'finally got working phone .. nice !',7
'discussion environment natural world  destroying   year old raised hand something say. , well',4
'matter party , time point fingers . woman many people attacked person society . everyone prayers include , hardcore conservitive . remember america think differently , result happened today . god',5
'shld win new zealand award miss blob love dad hahaha  ',6.5
'cell phone hold tons pictures claim texting inbox full hundred short text messages ?   ',3.5
'thanks bday wishes everybody ! great day .. saints mopped floor giants   woo , hoo !  , sushi ! could ask ? !',8
'drank kc tea last night . pretty good ! !',6.5
'cause american ggggiiiirrrlll ! ! ! ! got give tom petty',6
'starting first night new job tonight .. happy ! happy',8.5
'yea , jets .. shut',4.5
'fixin  party halloween .',5.5
'amazing day . thanks encouragement . fire . got go christian concert sedalia see sings savior lives . also weave life changing wonderful thankful blessed .',7.5
'edition  completed today .. nice . laughing one edition .  shower time symbolic logic time .. yeesh ..',6
'ive learned things weird bad weird good weird',6.5
'think spent   time others less   . slowly realizing almost everyone world almost statistics . feels good victim also compells think ideal way living life !',4.5
'someone make facts website compete chuck norris .',5
'like reminded iknowwatsgdforu attitude gahment institutions display  ',2.5
'got back handling classshopping little ago . trying heals rotc uniform , bad idea since ankle got irritated class . put heals , could barly walk hurt ankle litterally popping rolling .. much getting better . skeptical , annoyed , undecided , uneasy hesitant',2.5
'life wisdom consists constantly engaged letting go',5
'honestly never saw enjoyment watching people physical activity , play football , cares ?',4
'oh , looks like going draw .. straws .',4.5
'patience .. hahaha ..',5
?,6
'dogs fantastic . chester farts , gets runs room leaves deal .',5
'totp sat',5
'fun sun ! !',7
'sooo tierd',4
'.  . put dog .  profile   respect , apology   show .           animal cruelty',5
' many great achievements world accomplished tired discouraged men kept working',6.5
'hoping go zoo great wolf .. hope , hope ..',6
'patiently waiting days',4.5
'true know got lose , also true know missing arrives .',5
'thinks funny stick fingers throat make vommit ..',4
'ok. done beach today . might promenade tonight tomorrow .',5.5
' hrs mid night release black ops .',6
'wow many people school found lately . really happy even remember . miss guys',7.5
'happy bday angel .. miss love . see soon ..   ',7.5
'yay going ontario mills birthday   pfftt late , e cheeky , playful ected .. laughing  ',7
'exactly magical birthday first day yardah , yardah , yardah .. birthday messages definitely cheered though ! laughing',4.5
'nothing mind .',5
real,5.5
' innocent  wait upon lord shall renew strength  shall mount wings eagles  shall run , weary  shall walk , faint .',6
'government lost , alien empire gives free food med world trusting . loose group families media calls unmarked flee remote areas states , provence ghettos world .. head ! ..',3
'dog fairfax county bet fake trynna skool dough',4.5
'greater gift give receive honor , calling . born . become truly alive .',6.5
'cool like    ',6
'loves pizza ..',6
'many times mistreat constantly biting hands feed ?',3.5
'got accepted kitchen manager program .. baby way .. ? ? ..',4
'first day school course taken six hours mass hearing   pm followed first talk singles christ love god . maximized time accommodate activities ',5
'anyone knows anything history knows great social changes impossible without feminine upheaval . social progress measured exactly social position fair sex , ugly ones included .',5
'holy fuck supposed get weekends cheeky , playful',5
'yay ! friday !',7
'conspiracy theory . land lord thinks stilling light bulbs house . go bad asked . hum let think . right light bulbs never go . thinking . way hit need light bulb . many . maybe even get magic bulb never needs replacing . god',3
'christmas almost ! ! ! jesus born , years  days ago .. praise jesus ! ! !',8
'sick sucks .',3.5
'party !',6.5
'got new cell phone yesterday text meh laughing',6.5
'finally cooled enough open windows cool house bed . however , skunk decided stinky business outside . eww . bad skunk . bad .',4
'fat . happy fat',5.5
'shh hear ! omg calling .yep bed calling .. night sweet dream .. zzz',6
'omg , life difficult ? ? ? one door closses another one opens , well f    door ..',3
'black hats sideways white bold la',5
'gone greenway . mile run !',6.5
'yes slaughter ping pong , thanks asking .',6.5
'officially certified personal trainer',6
'bought megaman  wii . hardest game ever tt',4.5
' years ago , night like tonight .. road called roller coaster ..',5
'feel like clean house , going lay feeling passes .. cheeky , playful ',5
'realise bad dead leg could ..  days .. still bad day  .. wtf',3.5
'wowso many bday wishes continue comethanks much everyone ! .. give shout best sous chef working prepare us awesome dinner hyeholde moonamy hebster man ! !',7.5
'got dem brain dawgs !',6
'phone numbers facebook ! ! joke .. go top right screen , click account edit friends . go left side screen click phonebook . everyone phone numbers published . please repost let .. friends know happening remove number .. scary stuff',4
'wow .. dad . awesome moment teenage life ? think falls . thanks ! happy',7.5
'fell muddy brook',4
'know respond negativity . let lord fight battles . way better . trust lord lean understanding . selfcheck .',5.5
'one crazy ass day glad ..',4
'line work , rarely opportunity actually refuse anything  , really appreciate invites requests regarding lameass facebook games . flatly ignoring quite cathartic .',3
'chicken egg bed , chicken head pillow smoking . egg rolls annoyed saysi guess answered question.  ',5
bored,4.5
'making love ego .',5
'feels tight literally !',5.5
'guys great .',7
'feel knackered great couple days best company . always great show great guy ! role next gig',6.5
'got sure !',7
'thank every  happy bdays . fun , dinner movie thanks babe .',7
'super stressed second month school .. sadness',2.5
'accept full responsibilty wrong done , thought perfect , apologise human , never , put life',3.5
'make new year .. like fuckin  catalina wine mixer ! ! ! ! !',7
'rise . fall . rise . kill ya make ya strong .',5.5
'going today like going gun fight spoon . lets go yankees !',6.5
'need ask full time .. def full time yeaaaaaaaaaaaaaa yeahhhhh',4
'note self says flammable  mean sugguestion ..   .  ',5
'playing guitar , hanging pals  walking air life .',6.5
' afk weekend , wet weather camping skill !',6.5
'thanks prayers happy',6.5
'working grad night intire time hours sleep !',4
'doormat written forehead .. ? skeptical , annoyed , undecided , uneasy hesitant',3.5
'blessed feels like heaven !   ',6.5
'life confusing .. sometimes feel happy , sometimes feel sad .. sometimes sad happy .. damn retarded ..',3
'lol true urban dictionary  buy mugs',5.5
'wish would phone email . seattle , gone almost week word . frown , sad , angry pouting',3
'son baked birthday cake last night everyone sang happy birthday .. felt love ! today weather beautiful .. really november ? feels like spring !',8.5
'ouch .. head',3
'bye everyone  weeks going armenia baby see guys later',6.5
'touched birthday wishes . thank ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! xoxoxox smile big split face ! ! ! happy              ',8
'looongg great day work .. time sit back relax best way , ',8
'one mo gen upportin one boyz take dat plunge best wishes honored stand embark next chapter life . love guys like play cousin !',7.5
..,5
'workin  days week good tha  like wan na go catch flick ya kno ! insted workin catchin drinks afterwards ! ya kno .. lol wants go ! gon na try get day next week',6
'apart really misses worlds .. longs live one right .',3.5
'holy shit monday night amazing',7
'rest peace . first love , always hold special place heart . thoughts prayers . miss love',5.5
'stayed till  last night playing overlord raising hell . know',5
'long time , finally get receive package ! ! ! although need declare medical status , need medical checkup ! ! woots ! ! ! laughing',7.5
'faith choice lost man , angel , devel . god gave us choice , comand us . gave love us . pray wo lose faith , hope , love wo give , fight defend weak need . choice lose .',6.5
'oh gee love sister much ! wish cool ! ! ! ! ! ! ! ! ! ! ! ! ! like even believe lucky super duper awesome big sister ! ! ! ! ! ! ! laughing dddddd',8
'jellypuss ..',5
'ramadan mubarak',6
'wish could run friends used windsor although sixth grade lol',6
'wow game boston could lakers took .',5
'wow ! fun wedding p congradulations !',7.5
'last happy',6.5
'ready go happy',6.5
'yayy ! electric guitar ! !',7.5
'selfish , impatient little insecure . make mistakes , control times hard handle . ca handle worst , sure hell deserve best',4.5
'getting ready go graduation . prpud jess . love',7
'rest peace never forget .',4
'.. signed lease ! officiallly living girl next year ! yayyy !',7
'two weeks since last tae kwon doe lesson . going hurt .',3.5
'life full fake peoplbefore judge , make sure one .',3.5
'antibiotics kicking .. trying cough lungs , least feeling run . time go home tomorrow morning .. good times .',3.5
'care new friend ?',5
'listening hall mountain king , perpetuum mobile musical joke , hard core mozart .. real music rely words show emotion !',6
'goin home year today happy',6.5
'talked banky today . surprise . sounded really good sounds really focused comes home . slow day work',6
'got e today .. awesome phone happy',6.5
'dnt get scared .. jst missing .. darling curles ..',5
'got ipod touch',5
'oh blessed day ! ! ! ! getting ready go day , wife says please stop gamestop ?  finally growing gamer know ! ! !   ',6.5
'hmmm work  solo ensemble b  debate c  chess  academics ? pick e  facebook xbox !  ',6
'fed searching info man knew much . anyone help ?   ',5
'thanks bday wishes . unfortunetly , sick since . better time leave tomorrow puerto ricoooo ! ! !',7
'moment dreams become reality , moment know finally living ! ! e cheeky , playful erience ceasing exist ..',6
'since stuck morgantown .. alchycider sledding',5
'spent two hours cleaning basement boxes miscellaneous items . must  boxes .. garage yet go . yay , get look forward spring summer .',3
'going home today kids great weekend god never knew much rlly missed wish never go back . love wish guys would never grow . love',7.5
'life full surprises suspenses  happy  .. sometimes unbearable frown , sad , angry pouting',4
'trying figure work thing hopefully get .',4.5
'thanks everyone wished happy birthday amazing',7
happy,6.5
'birthday tomorrow ! ! ! ! excited',7.5
'glad feeling better ready go back work lived phone computer day pjs .. bad thing moved accounts sat .. work weekend daughter bugging go dog show ca , , may accounts  ',4
'thanks birthday wishes everyone ! ! !',7
'summmerrrsss baaaccckkkk ! ! ! ! god missed fb ! ! !',7
'theres fat guy pastry shop twenty dollar bill ready buy , order predict volume change need know value pi',5
'think obsessed , weird .. jk',5
'thanks everyone said happy birthday ..  wait march   happy',6
'coffee ! ! !',6
'time log ..',5
'kinda upset couple friends might job important . ?',4
'yay ! ! ! uni finally finished year happy hello three months happy',7
'avoiding teased , might mean coward . never faced words thrown . never get angry still stuck somewhere heart might find years . wait come near say something . would glad hear ,       happy happy happy happy valentines day ! !',5.5
'let snow , let snow !',6.5
'may want take christ christmas , never take christ . ashamed christ post status  day light world . people ashamed scared . remember jesus said . whoever acknowledges men',4.5
'always hard .. hurts bad ..',2.5
'make good life one going ! happy',6.5
'past  years employed  joke writers supplied one million gags , still could make laugh .',4
'answered question friend facts',5
'good luck everybody exams  prays ',6
'ai world confusing ? retarded ! ?',4
'life matter choice . often make decision meantime feel responsible choose ? ?',3.5
'likes hammering nails weeding paths',5
'mistakes always come back haunt yooou . regret something first time liffe , hate feeeeling . love',3.5
'walking dead television pilot commense filiming may . fuck yes',6.5
'started work , makin bank !',6.5
' missed fg , dammit ! ! ! still like though kicker gets bar fights cool , seriously make fg !',4.5
'damp morning , maybe angry old lady let us paint dew today instead sending us home , doubt .',4
'ok .. finished reading latest bleach manga . still plans milk bleach even starting new arc . wonder would start scratch ? also looks like would bigger role .',5
'wait june ',6
'pizza reaches home faster ambulance  police , car loans    education loan    , rice rs  per kg sim card free , footwear sold ac showrooms , vegetables , eat , sold footpaths .. got change something ..',3
'set tomorrow laughing excited happy',6.5
'stupid frontierville bear scared cat clawed .',4
'loui great bed',6
'shortall love',6
'friends going back home ! ! ! miss guys much ! ! ! frown , sad , angry pouting ',3
'shout outs bro getting airport early  axing last  passengers checked due weight restriction ! holy balls',5.5
'mrs gon na go shopping ! ! !',6.5
'shame west indies frown , sad , angry pouting good luk  happy',4.5
'great day ! ! thanks much birthday wishesblessingslove ! ! !',7.5
'okay , school bad .. able sleep  extra hours awesome ! getting   better  !',6.5
'need extra careful days . flu .. conjunctive eyes .. typhoid .. common results ignorance frown , sad , angry pouting',3
'dota dota dota .. hehehehe isshhhh .. micro .. hmpf ..',5.5
'mri done today .. prays  answer  pain healn body . god bless fb .',5
'finally became member facebook . yay joy lets hear boredome minds ..',4.5
'yo buy bus tickets back vt !',6.5
'told today alot pistures facebook.my response , love ! .. true ! disliked hated anybody , head remains high . deuces',6.5
'enjoying day ! !',7
'squirell dead sad crying lagrima',3
'long day ! birthday parties always drain . renting weeds season  snuggling lovey night . ahhh ..',6.5
'thanks birthday wishes friends .. appreciate ..',6
'new ideas dead night dreaming natural ..   ',5.5
'much drama lbc , kinda hard bein  snoop double g , somehow , way , keep comin  , funkyass shit like every single day may kick little somethin  g make ends , breeze two tha mornin party still jumpin , cause mama ai home .',5
'got sent home work early , chillin home bored hella pain . wish doctor would precribed pain killers .',4
'sudden change plans . work hoping family got canceled , may cost need get honeypot . know next couple days going thurs skeptical , annoyed , undecided , uneasy hesitant',4
'war page . need one person attack',4.5
'ga. tiny fraction children happened mystical , magical age range woken wind chrismas eve heard little branches acorns tapping roof swear next years heard santa . love .',6.5
'sorry farmvill mafia players .. , think ill .',4
'finally switched swing . see sleep night .',5
'laughing ddddooooooooxxx laughing ddododoxoooxoododo laughing x laughing laughing ox surprise sadness xo laughing ox laughing ox  laughing laughing doox laughing laughing ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !',6.5
'give perfect simple situation',5
